type,date,latitude,longitude,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,source_month,year,month,time,has_location
Person search,2024-09-30 10:18:00+00:00,53.959798,-1.077871,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,Yes,2024-09,2024,9,10,True
Person and Vehicle search,2024-06-30 23:04:00+00:00,53.902243,-1.381316,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,6,23,True
Person search,2024-07-02 01:26:00+00:00,54.230027,-1.345899,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,1,True
Person search,2024-07-02 19:50:00+00:00,53.957273,-1.084983,Male,over 34,White - Irish,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-02 22:18:00+00:00,53.961927,-1.090718,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Not Specified,No,2024-07,2024,7,22,True
Person search,2024-07-03 02:33:00+00:00,53.956569,-1.08224,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2024-07,2024,7,2,True
Person search,2024-07-03 05:32:00+00:00,54.242154,-0.407615,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Not Specified,Offensive weapons,Not Specified,No,2024-07,2024,7,5,True
Person search,2024-07-03 07:14:00+00:00,53.998745,-1.498707,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,7,True
Person and Vehicle search,2024-07-03 16:55:00+00:00,53.950583,-1.140579,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,Yes,2024-07,2024,7,16,True
Person and Vehicle search,2024-07-05 08:05:00+00:00,54.017,-1.563609,Male,18-24,White - Any other White background,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-07,2024,7,8,True
Person search,2024-07-05 15:57:00+00:00,53.960122,-1.084517,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,15,True
Person search,2024-07-05 17:21:00+00:00,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-07,2024,7,17,True
Person search,2024-07-05 17:21:00+00:00,53.995474,-1.539275,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,17,True
Person search,2024-07-05 17:21:00+00:00,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,17,True
Person search,2024-07-06 02:51:00+00:00,53.784722,-1.069252,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,2,True
Person search,2024-07-06 15:44:00+00:00,54.37679,-1.723757,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,15,True
Person search,2024-07-07 04:30:00+00:00,53.972975,-1.081468,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-07,2024,7,4,True
Person search,2024-07-07 18:36:00+00:00,54.442307,-1.671485,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-07,2024,7,18,True
Person and Vehicle search,2024-07-08 02:07:00+00:00,54.442307,-1.671485,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-07,2024,7,2,True
Person and Vehicle search,2024-07-08 20:55:00+00:00,54.343854,-1.435297,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,20,True
Person search,2024-07-09 01:34:00+00:00,54.280857,-0.404802,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-07,2024,7,1,True
Person search,2024-07-09 07:27:00+00:00,53.990453,-1.517246,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-07,2024,7,7,True
Person search,2024-07-09 19:18:00+00:00,54.000392,-1.551746,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-07,2024,7,19,True
Person and Vehicle search,2024-07-10 00:27:00+00:00,54.361647,-1.419741,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,0,True
Person search,2024-07-10 10:57:00+00:00,53.950993,-1.108099,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,10,True
Person and Vehicle search,2024-07-11 09:43:00+00:00,54.372055,-1.716646,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,9,True
Person and Vehicle search,2024-07-11 12:44:00+00:00,54.532526,-0.751233,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,12,True
Person search,2024-07-11 14:00:00+00:00,53.975807,-1.068689,Male,10-17,Not Specified,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-07,2024,7,14,True
Person and Vehicle search,2024-07-11 23:36:00+00:00,54.302123,-0.918347,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-07,2024,7,23,True
Person and Vehicle search,2024-07-14 22:14:00+00:00,53.997549,-1.541525,Male,25-34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2024-07,2024,7,22,True
Person and Vehicle search,2024-07-14 22:14:00+00:00,53.997549,-1.541525,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2024-07,2024,7,22,True
Person search,2024-07-16 09:43:00+00:00,53.958528,-1.083246,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,9,True
Person search,2024-07-16 14:43:00+00:00,54.010692,-1.465848,Male,10-17,Not Specified,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,14,True
Person search,2024-07-17 01:15:00+00:00,54.273905,-0.417464,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,1,True
Person search,2024-07-17 10:11:00+00:00,53.942659,-1.089812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,10,True
Person and Vehicle search,2024-07-18 12:12:00+00:00,53.904723,-1.6284,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2024-07,2024,7,12,True
Person and Vehicle search,2024-07-19 17:29:00+00:00,54.00019,-1.448942,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2024-07,2024,7,17,True
